"no","generasi","pertanyaan","pertanyaan_ner","lapis_terjemahan","sql_asli_1baris","sql_dipakai_1baris","error"
"1","v1","""buatkan data perbedaan hasil pengawasan iklan obat antara hasil verifikasi balai dan hasil verifikasi pusat dalam bentuk grafik dan narasi.""","""buatkan data perbedaan hasil pengawasan iklan obat antara hasil verifikasi <HALL NAME> dan hasil verifikasi <HALL NAME> dalam bentuk grafik dan narasi.""","relasi vw_pengawasan_v2→mv_pengawasan","SELECT kesimpulan_penilaian_balai, kesimpulan_penilaian_pusat, COUNT(*) AS jumlah FROM vw_pengawasan_v2 GROUP BY kesimpulan_penilaian_balai, kesimpulan_penilaian_pusat ORDER BY kesimpulan_penilaian_balai, kesimpulan_penilaian_pusat;","SELECT kesimpulan_penilaian_balai, kesimpulan_penilaian_pusat, COUNT(*) AS jumlah FROM mv_pengawasan GROUP BY kesimpulan_penilaian_balai, kesimpulan_penilaian_pusat ORDER BY kesimpulan_penilaian_balai, kesimpulan_penilaian_pusat;",""
"2","v1","""buatkan pengelompokan iklan obat mk/tmk berdasarkan materi yang sama dari semua upt yang melaporkan materi iklan tersebut.""","""buatkan pengelompokan iklan obat <PRODUCT NAME> berdasarkan materi yang sama dari semua upt yang melaporkan materi iklan tersebut.""","relasi vw_pengawasan_v2→mv_pengawasan","SELECT media_iklan, nama_balai, kesimpulan_penilaian_akhir , count(*) FROM vw_pengawasan_v2 WHERE lower(komoditi) IN ('obat') GROUP BY media_iklan, nama_balai, kesimpulan_penilaian_akhir ORDER BY media_iklan;","SELECT media_iklan, nama_balai, kesimpulan_penilaian_akhir , count(*) FROM mv_pengawasan WHERE lower(komoditi) IN ('obat') GROUP BY media_iklan, nama_balai, kesimpulan_penilaian_akhir ORDER BY media_iklan;",""
"3","v1","""buatkan pengelompokan iklan obat tradisional; suplemen kesehatan; obat kuasi mk/tmk berdasarkan materi yang sama dari semua upt yang melaporkan materi iklan yang sama.""","""buatkan pengelompokan iklan <CLASSIFICATION>; <CLASSIFICATION>; <CLASSIFICATION> berdasarkan materi yang sama dari semua upt yang melaporkan materi iklan yang sama.""","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_produk, media_iklan, nama_balai FROM vw_pengawasan_v2 WHERE lower(komoditi) IN ('obat tradisional (ot)', 'suplemen kesehatan', 'obat kuasi') GROUP BY nama_produk, media_iklan, nama_balai","SELECT nama_produk, media_iklan, nama_balai FROM mv_pengawasan WHERE lower(komoditi) IN ('obat tradisional (ot)', 'suplemen kesehatan', 'obat kuasi') GROUP BY nama_produk, media_iklan, nama_balai",""
"4","v1","""tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat dengan hasil verifikasi balai mk pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.""","""tampilkan data hasil <CONCLUSION TYPE> berdasarkan hasil verifikasi pusat dengan hasil verifikasi balai mk pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.""","relasi vw_pengawasan_v2→mv_pengawasan","SELECT * FROM public.vw_pengawasan_v2 WHERE kesimpulan_penilaian_pusat = kesimpulan_penilaian_balai AND kesimpulan_penilaian_pusat = 'TMK' AND tgl_start >= (SELECT (current_date - interval '2 week')) AND tgl_end <= current_date","SELECT * FROM mv_pengawasan WHERE kesimpulan_penilaian_pusat = kesimpulan_penilaian_balai AND kesimpulan_penilaian_pusat = 'TMK' AND tgl_start >= (SELECT (current_date - interval '2 week')) AND tgl_end <= current_date",""
"5","v1","""tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.""","""tampilkan data hasil <CONCLUSION TYPE> berdasarkan hasil verifikasi pusat pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.""","relasi vw_pengawasan_v2→mv_pengawasan","SELECT * FROM public.vw_pengawasan_v2 WHERE kesimpulan_penilaian_pusat = 'TMK' AND tgl_start = tgl_end - INTERVAL '14 days';","SELECT * FROM mv_pengawasan WHERE kesimpulan_penilaian_pusat = 'TMK' AND tgl_start = tgl_end - INTERVAL '14 days';",""
"6","v1","""tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.""","""tampilkan data hasil <CONCLUSION TYPE> berdasarkan hasil verifikasi pusat pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.""","relasi vw_pengawasan_v2→mv_pengawasan","SELECT * FROM public.vw_pengawasan_v2 WHERE kesimpulan_penilaian_pusat = 'TMK' AND tgl_end <= tgl_start + INTERVAL '14 days';","SELECT * FROM mv_pengawasan WHERE kesimpulan_penilaian_pusat = 'TMK' AND tgl_end <= tgl_start + INTERVAL '14 days';",""
"7","v1","""tampilkan data iklan yang dilaporkan mk/tmk dari masing-masing upt berdasarkan nama produk, jenis pangan, produsen, kabupaten/provinsi produsen, media iklan, jenis pembuat iklan (pelaku usaha/peroran","""tampilkan data iklan yang dilaporkan mk/tmk dari masing-masing upt berdasarkan nama produk, jenis pangan, produsen, kabupaten/provinsi produsen, media iklan, jenis pembuat iklan (pelaku usaha/peroran","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_balai, nama_produk, media_iklan, komoditi, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'MK' THEN 1 ELSE 0 END) AS jumlah_mk, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'TMK' THEN 1 ELSE 0 END) AS jumlah_tmk FROM vw_pengawasan_v2 WHERE extract(year from tgl_end) = 2025 AND kesimpulan_penilaian_akhir IN ('MK', 'TMK') GROUP BY -- Mengelompokkan berdasarkan semua kategori yang diminta nama_balai, nama_produk, media_iklan, komoditi ORDER BY nama_balai, nama_produk;","SELECT nama_balai, nama_produk, media_iklan, komoditi, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'MK' THEN 1 ELSE 0 END) AS jumlah_mk, SUM(CASE WHEN kesimpulan_penilaian_akhir = 'TMK' THEN 1 ELSE 0 END) AS jumlah_tmk FROM mv_pengawasan WHERE extract(year from tgl_end) = 2025 AND kesimpulan_penilaian_akhir IN ('MK', 'TMK') GROUP BY -- Mengelompokkan berdasarkan semua kategori yang diminta nama_balai, nama_produk, media_iklan, komoditi ORDER BY nama_balai, nama_produk;",""
"8","v1","""tampilkan data iklan yang dilaporkan mk/tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, industri farmasi, media publikasi, dan golongan obat dengan status selesai pada rentang ","""tampilkan data iklan yang dilaporkan mk/tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, <PRODUCT NAME>, media publikasi, dan <CLASSIFICATION> dengan status <CONCLUSION TYPE> pa","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_produk, pendaftar AS industri_farmasi, media_iklan, lower(komoditi) AS golongan_obat, nama_balai AS upt, kesimpulan_penilaian_balai AS kesimpulan_upt FROM public.vw_pengawasan_v2 WHERE tgl_start >= '2024-06-25' AND tgl_end <= '2024-06-30'","SELECT nama_produk, pendaftar AS industri_farmasi, media_iklan, lower(komoditi) AS golongan_obat, nama_balai AS upt, kesimpulan_penilaian_balai AS kesimpulan_upt FROM mv_pengawasan WHERE tgl_start >= '2024-06-25' AND tgl_end <= '2024-06-30'",""
"9","v1","""tampilkan persentase kategori pangan yang tmk pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu (baik secara nasional maupun per upt).""","""tampilkan persentase <CLASSIFICATION> yang tmk pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu (baik secara nasional maupun per upt).""","relasi vw_pengawasan_v2→mv_pengawasan","SELECT nama_balai, COUNT(CASE WHEN kesimpulan_penilaian_akhir = 'TMK' THEN 1 END) AS jumlah_pemeriksaan_tmk, COUNT(*) AS jumlah_pemeriksaan_total, CASE WHEN COUNT(*) > 0 THEN ROUND( (CAST(COUNT(CASE WHEN kesimpulan_penilaian_akhir = 'TMK' THEN 1 END) AS NUMERIC) * 100.0) / COUNT(*), 2 ) ELSE 0.00 END AS persentase_tmk FROM public.vw_pengawasan_v2 WHERE tgl_end - INTERVAL '14 days' > tgl_start GROUP BY 1","SELECT nama_balai, COUNT(CASE WHEN kesimpulan_penilaian_akhir = 'TMK' THEN 1 END) AS jumlah_pemeriksaan_tmk, COUNT(*) AS jumlah_pemeriksaan_total, CASE WHEN COUNT(*) > 0 THEN ROUND( (CAST(COUNT(CASE WHEN kesimpulan_penilaian_akhir = 'TMK' THEN 1 END) AS NUMERIC) * 100.0) / COUNT(*), 2 ) ELSE 0.00 END AS persentase_tmk FROM mv_pengawasan WHERE tgl_end - INTERVAL '14 days' > tgl_start GROUP BY 1",""
"10","v1","""tampilkan tren data hasil pengawasan iklan obat tradisional; suplemen kesehatan; obat kuasi pada rentang tahun 2024-2025 berdasarkan hasil verifikasi pusat mk/tmk""","""tampilkan tren data hasil pengawasan iklan <CLASSIFICATION>; <CLASSIFICATION>; <CLASSIFICATION> pada rentang tahun <YEAR> berdasarkan hasil verifikasi pusat mk/tmk""","relasi vw_pengawasan_v2→mv_pengawasan","SELECT EXTRACT( YEAR from tgl_start ) AS tahun, komoditi, kesimpulan_penilaian_pusat, COUNT(*) AS jumlah FROM vw_pengawasan_v2 WHERE EXTRACT( YEAR from tgl_start ) BETWEEN 2024 AND 2025 AND lower(komoditi) IN ('obat tradisional (ot)', 'suplemen kesehatan', 'obat kuasi') AND kesimpulan_penilaian_pusat != '' GROUP BY tahun, komoditi, kesimpulan_penilaian_pusat ORDER BY tahun, komoditi;","SELECT EXTRACT( YEAR from tgl_start ) AS tahun, komoditi, kesimpulan_penilaian_pusat, COUNT(*) AS jumlah FROM mv_pengawasan WHERE EXTRACT( YEAR from tgl_start ) BETWEEN 2024 AND 2025 AND lower(komoditi) IN ('obat tradisional (ot)', 'suplemen kesehatan', 'obat kuasi') AND kesimpulan_penilaian_pusat != '' GROUP BY tahun, komoditi, kesimpulan_penilaian_pusat ORDER BY tahun, komoditi;",""
