"no","generasi","pertanyaan","tabel_dipakai","pakai_agregasi","status_sebelum","status_sesudah","baris_hasil","kode_diagnosa","penjelasan_sebab"
"1","v1","""buatkan data perbedaan hasil pengawasan iklan obat antara hasil verifikasi balai dan hasil verifikasi pusat dalam bentuk grafik dan narasi.""","mv_pengawasan","ya","ERR_SCHEMA","OK","25","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"2","v1","""buatkan pengelompokan iklan obat mk/tmk berdasarkan materi yang sama dari semua upt yang melaporkan materi iklan tersebut.""","mv_pengawasan","ya","ERR_SCHEMA","OK","481","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"3","v1","""buatkan pengelompokan iklan obat tradisional; suplemen kesehatan; obat kuasi mk/tmk berdasarkan materi yang sama dari semua upt yang melaporkan materi iklan yang sama.""","mv_pengawasan","tidak","ERR_SCHEMA","OK","25063","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"4","v1","""tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat dengan hasil verifikasi balai mk pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.""","mv_pengawasan","tidak","ERR_SCHEMA","OK","35","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"5","v1","""tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.""","mv_pengawasan","tidak","ERR_SCHEMA","OK","88","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"6","v1","""tampilkan data hasil kesimpulan tmk berdasarkan hasil verifikasi pusat pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu.""","mv_pengawasan","tidak","ERR_SCHEMA","OK","42725","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"7","v1","""tampilkan data iklan yang dilaporkan mk/tmk dari masing-masing upt berdasarkan nama produk, jenis pangan, produsen, kabupaten/provinsi produsen, media iklan, jenis pembuat iklan (pelaku usaha/peroran","mv_pengawasan + tgl_end","ya","ERR_SCHEMA","OK","23692","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"8","v1","""tampilkan data iklan yang dilaporkan mk/tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, industri farmasi, media publikasi, dan golongan obat dengan status selesai pada rentang ","mv_pengawasan","tidak","ERR_SCHEMA","OK","1794","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"9","v1","""tampilkan persentase kategori pangan yang tmk pada rentang waktu antara tanggal mulai dan tanggal selesai 2 minggu (baik secara nasional maupun per upt).""","mv_pengawasan","ya","ERR_SCHEMA","OK","79","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"10","v1","""tampilkan tren data hasil pengawasan iklan obat tradisional; suplemen kesehatan; obat kuasi pada rentang tahun 2024-2025 berdasarkan hasil verifikasi pusat mk/tmk""","tgl_start + mv_pengawasan","ya","ERR_SCHEMA","OK","30","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"11","v1","""tampilkan tren data hasil pengawasan iklan pangan (mk/tmk) pada rentang tahun 2025 berdasarkan hasil verifikasi upt""","tgl_end + mv_pengawasan","ya","ERR_SCHEMA","OK","60","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"12","v1","tampilkan data berapa jumlah iklan obat tradisional; suplemen kesehatan; obat kuasi yang dilaporkan oleh upt dengan hasil verifikasi pusat mk/tmk.","mv_pengawasan","ya","ERR_SCHEMA","OK","1","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"13","v1","tampilkan data iklan yang dilaporkan mk/tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, sarana produksi, media publikasi, dan klaim dalam promosi/iklan dengan status selesai pad","mv_pengawasan","ya","ERR_SCHEMA","OK","46147","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"14","v1","tampilkan data ketepatan waktu pelaporan oleh upt yang dihitung berdasarkan laporan yang dikirimkan tanggal kepala balai sebelum batas tanggal 9 bulan berikutnya.","mv_pengawasan","ya","ERR_SCHEMA","OK","25943","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"15","v1","tampilkan data label dengan tanggal sampling pada bulan januari 2025 yang dilaporkan ke pusat melewati batas waktu tanggal 15 februari 2025 (data label tidak tepat waktu).","mv_pengawasan","tidak","ERR_SYNTAX","ERR_SYNTAX","","ERR_SQL_RUSAK","SQL rusak sejak asalnya (mis. "";"" di tengah komentar) — perlu ditulis ulang"
"16","v1","tampilkan data label yang dilaporkan mk/tmk dari masing-masing upt yang dikategorikan berdasarkan nama produk, jenis pangan, kategori pangan, produsen, kabupaten/provinsi produsen, pada rentang waktu ","mv_pengawasan","tidak","ERR_SCHEMA","OK","41836","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"17","v1","tampilkan data upt yang tidak melaporkan iklan obat tradisional; suplemen kesehatan; obat kuasi.","mv_pengawasan","tidak","ERR_SCHEMA","OK","84","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"18","v1","tampilkan jumlah iklan tepat waktu yang telah dikirimkan ke pusat pada upt [nama upt] pada rentang waktu 2025 (ketentuan : hasil pengawasan iklan dikirimkan ke pusat maksimal tanggal 10 bulan berikutn","mv_pengawasan + tgl_start","ya","ERR_SCHEMA","OK","1","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
"19","v1","tampilkan jumlah label tepat waktu yang telah dikirimkan ke pusat pada upt dengan nama 'balai pom di jakarta' pada rentang periode 2025 (ketentuan : hasil pengawasan label dikirimkan ke pusat maksimal","mv_pengawasan + tgl_start","ya","ERR_SCHEMA","OK","1","PULIH_RELASI","Pulih setelah penyesuaian relasi ke skema live"
